model,accuracy,f1
"RandomForestClassificationModel: uid=RandomForestClassifier_4f6d5a8b5ca6, numTrees=40, numClasses=4, numFeatures=41",0.8186104716773334,0.7672545307591836
"LogisticRegressionModel: uid=LogisticRegression_9b6c2ec63d0e, numClasses=4, numFeatures=41",0.799559531922615,0.7619951059304182
