q2_out.bucket,q2_out.accident_count,q2_out.high_severity_pct
1: 0-5 mph (Calm),1898955,16.89
2: 5-15 mph (Light),4524482,19.09
3: 15-25 mph (Moderate),692956,20.26
4: 25-35 mph (Strong),37006,19.88
5: 35+ mph (Very Strong),3760,18.03
